ident,type,origin,destination,departure,estimated_arrival_time
DAL1,A332,John F Kennedy Intl ( KJFK ),London Heathrow ( LHR / EGLL ),Wed 09:43PM EDT,Thu 07:48AM GMT
DAL10,A339,Minneapolis/St Paul Intl ( KMSP ),London Heathrow ( LHR / EGLL ),Wed 06:09PM CDT,Thu 05:43AM GMT
DAL1011,A321,Hartsfield-Jackson Intl ( KATL ),Bradley Intl ( KBDL ),Wed 10:09PM EDT,Wed 11:55PM EDT
DAL1027,A320,Hartsfield-Jackson Intl ( KATL ),Patrick Leahy Burlington Intl ( KBTV ),Wed 09:48PM EDT,Wed 11:45PM EDT
DAL1032,A321,Minneapolis/St Paul Intl ( KMSP ),Hartsfield-Jackson Intl ( KATL ),Wed 08:24PM CDT,Wed 11:32PM EDT
DAL1037,B753,Fort Lauderdale Intl ( KFLL ),Detroit Metro Wayne Co ( KDTW ),Wed 08:44PM EDT,Wed 11:05PM EDT
DAL105,A339,Hartsfield-Jackson Intl ( KATL ),São Paulo-Guarulhos Int'l ( GRU / SBGR ),Wed 07:45PM EDT,Thu 05:41AM -03
DAL1051,A321,Minneapolis/St Paul Intl ( KMSP ),Salt Lake City Intl ( KSLC ),Wed 08:08PM CDT,Wed 09:35PM MDT
DAL1065,A321,Hartsfield-Jackson Intl ( KATL ),Palm Beach Intl ( KPBI ),Wed 09:44PM EDT,Wed 11:03PM EDT
DAL1076,B712,Hartsfield-Jackson Intl ( KATL ),Chicago Midway Intl ( KMDW ),Wed 09:51PM EDT,Wed 10:17PM CDT
DAL1077,A321,Fort Lauderdale Intl ( KFLL ),LaGuardia ( KLGA ),Wed 07:45PM EDT,Wed 10:50PM EDT
DAL108,B764,Hartsfield-Jackson Intl ( KATL ),Adolfo Suárez Madrid-Barajas ( MAD / LEMD ),Wed 07:21PM EDT,Thu 07:52AM CET
DAL1080,B738,Los Angeles Intl ( KLAX ),Frederick W Smith Intl/Memphis ( KMEM ),Wed 06:51PM PDT,Thu 12:02AM CDT
DAL110,A339,Ministro Pistarini Int'l ( EZE / SAEZ ),Hartsfield-Jackson Intl ( KATL ),Wed 09:12PM -03,Thu 05:31AM EDT
DAL1104,B712,Hartsfield-Jackson Intl ( KATL ),Dallas Love Fld ( KDAL ),Wed 09:37PM EDT,Wed 10:23PM CDT
DAL1107,A321,Hartsfield-Jackson Intl ( KATL ),Fort Lauderdale Intl ( KFLL ),Wed 09:31PM EDT,Wed 10:54PM EDT
DAL112,A339,Boston Logan Intl ( KBOS ),Leonardo da Vinci Int'l (Fiumicino Int'l) ( FCO / LIRF ),Wed 07:01PM EDT,Thu 06:55AM CET
DAL1123,B753,Detroit Metro Wayne Co ( KDTW ),Orlando Intl ( KMCO ),Wed 09:53PM EDT,Thu 12:08AM EDT
DAL1130,B739,Hartsfield-Jackson Intl ( KATL ),Kansas City Intl ( KMCI ),Wed 09:35PM EDT,Wed 10:15PM CDT
DAL1131,A321,Houston Bush Int'ctl ( KIAH ),Hartsfield-Jackson Intl ( KATL ),Wed 09:20PM CDT,Thu 12:00AM EDT
DAL176,A333,Hartsfield-Jackson Intl ( KATL ),Dublin Int'l ( DUB / EIDW ),Wed 08:23PM EDT,Thu 06:53AM GMT
DAL181,B763,Daniel K Inouye Intl ( PHNL ),Tokyo Int'l (Haneda) ( HND / RJTT ),Wed 02:41PM HST,Thu 06:10PM JST
DAL182,A339,John F Kennedy Intl ( KJFK ),Leonardo da Vinci Int'l (Fiumicino Int'l) ( FCO / LIRF ),Wed 05:28PM EDT,Thu 05:45AM CET
DAL1837,B738,Los Cabos Int'l ( SJD / MMSD ),Seattle-Tacoma Intl ( KSEA ),Wed 04:14PM MST,Wed 08:27PM PDT
DAL184,B764,John F Kennedy Intl ( KJFK ),Malpensa Int'l ( MXP / LIMC ),Wed 08:34PM EDT,Thu 08:38AM CET
DAL1859,A21N,John F Kennedy Intl ( KJFK ),Luis Munoz Marin Intl ( SJU / TJSJ ),Wed 08:42PM EDT,Wed 11:52PM AST
DAL1861,B752,Hartsfield-Jackson Intl ( KATL ),Luis Munoz Marin Intl ( SJU / TJSJ ),Wed 08:08PM EDT,Wed 11:07PM AST
DAL1863,A21N,Las Americas ( SDQ / MDSD ),John F Kennedy Intl ( KJFK ),Wed 08:32PM AST,Thu 12:12AM EDT
DAL1885,B752,Orlando Intl ( KMCO ),Minneapolis/St Paul Intl ( KMSP ),Wed 09:42PM EDT,Wed 11:37PM CDT
DAL189,A359,Hartsfield-Jackson Intl ( KATL ),Incheon Int'l ( ICN / RKSI ),Wed 11:19AM EDT,Thu 02:58PM KST
DAL1922,B738,Lic. Gustavo Diaz Ordaz Int'l ( PVR / MMPR ),Seattle-Tacoma Intl ( KSEA ),Wed 04:53PM CST,Wed 08:44PM PDT
DAL1931,B752,Hartsfield-Jackson Intl ( KATL ),Juan Santamaria Int'l ( SJO / MROC ),Wed 07:40PM EDT,Wed 08:54PM CST
DAL194,A339,Hartsfield-Jackson Intl ( KATL ),Barcelona Int'l ( BCN / LEBL ),Wed 06:15PM EDT,Thu 07:48AM CET
DAL1943,A21N,John F Kennedy Intl ( KJFK ),Las Americas ( SDQ / MDSD ),Wed 08:57PM EDT,Wed 11:58PM AST
DAL1969,A21N,Cibao Int'l (Santiago Municipal) ( STI / MDST ),John F Kennedy Intl ( KJFK ),Wed 08:55PM AST,Thu 12:13AM EDT
DAL197,A359,Seattle-Tacoma Intl ( KSEA ),Incheon Int'l ( ICN / RKSI ),Wed 01:06PM PDT,Thu 03:11PM KST
DAL1975,A21N,John F Kennedy Intl ( KJFK ),Cibao Int'l (Santiago Municipal) ( STI / MDST ),Wed 08:40PM EDT,Wed 11:35PM AST
DAL20,A332,Seattle-Tacoma Intl ( KSEA ),London Heathrow ( LHR / EGLL ),Wed 05:58PM PDT,Thu 10:04AM GMT
DAL201,A359,OR Tambo Int'l ( JNB / FAOR ),Hartsfield-Jackson Intl ( KATL ),Wed 10:10PM SAST,Thu 07:23AM EDT
DAL202,A339,John F Kennedy Intl ( KJFK ),"Athens Int'l, Eleftherios Venizelos ( ATH / LGAV )",Wed 07:02PM EDT,Thu 09:35AM EET
DAL2022,A21N,Philadelphia Intl ( KPHL ),Salt Lake City Intl ( KSLC ),Wed 08:40PM EDT,Wed 10:57PM MDT
DAL2030,A319,Reagan National ( KDCA ),Detroit Metro Wayne Co ( KDTW ),Wed 10:18PM EDT,Wed 11:31PM EDT
DAL2033,A21N,Newark Liberty Intl ( KEWR ),Salt Lake City Intl ( KSLC ),Wed 07:00PM EDT,Wed 09:39PM MDT
DAL2038,B739,Salt Lake City Intl ( KSLC ),Newark Liberty Intl ( KEWR ),Wed 06:09PM MDT,Thu 12:09AM EDT
DAL2043,B712,Hartsfield-Jackson Intl ( KATL ),Tulsa Intl ( KTUL ),Wed 09:39PM EDT,Wed 10:12PM CDT
DAL2051,A319,Hartsfield-Jackson Intl ( KATL ),William P Hobby ( KHOU ),Wed 09:56PM EDT,Wed 10:44PM CDT
DAL2054,BCS1,Louis Armstrong New Orleans International Airport ( KMSY ),Salt Lake City Intl ( KSLC ),Wed 07:39PM CDT,Wed 10:19PM MDT
DAL2056,A21N,Salt Lake City Intl ( KSLC ),Orlando Intl ( KMCO ),Wed 05:57PM MDT,Wed 11:39PM EDT
DAL2064,A321,Hartsfield-Jackson Intl ( KATL ),Rhode Island T. F. Green International Airport ( KPVD ),Wed 10:45PM EDT,Thu 12:28AM EDT
